filename,date&time,labeled length (pixels),automated length (pixels),difference in measurement (pixels)
IMG_1322.JPG,27-Jan-2021 15:00:00,211,243.59333,-32.6
IMG_1323.JPG,27-Jan-2021 16:00:00,213,69.3666,143.6
IMG_1339.JPG,28-Jan-2021 08:00:00,1,,
IMG_1340.JPG,28-Jan-2021 09:00:00,1,,
IMG_1341.JPG,28-Jan-2021 10:00:00,1,,
IMG_1342.JPG,28-Jan-2021 11:00:00,1,,
IMG_1343.JPG,28-Jan-2021 12:00:00,1,,
IMG_1344.JPG,28-Jan-2021 13:00:00,1,,
IMG_1345.JPG,28-Jan-2021 14:00:00,1,,
IMG_1346.JPG,28-Jan-2021 15:00:00,1,,
IMG_1347.JPG,28-Jan-2021 16:00:00,1,,
IMG_1363.JPG,29-Jan-2021 08:00:00,1,,
IMG_1364.JPG,29-Jan-2021 09:00:00,1,,
IMG_1365.JPG,29-Jan-2021 10:00:00,1,,
IMG_1366.JPG,29-Jan-2021 11:00:00,1,,
IMG_1367.JPG,29-Jan-2021 12:00:00,1,,
IMG_1368.JPG,29-Jan-2021 13:00:00,170,,
IMG_1369.JPG,29-Jan-2021 14:00:00,170,82.76269,87.2
IMG_1370.JPG,29-Jan-2021 15:00:00,174,,
IMG_1371.JPG,29-Jan-2021 16:00:00,172,,
IMG_1387.JPG,30-Jan-2021 08:00:00,1,,
IMG_1388.JPG,30-Jan-2021 09:00:00,1,,
IMG_1389.JPG,30-Jan-2021 10:00:00,1,,
IMG_1390.JPG,30-Jan-2021 11:00:00,1,,
IMG_1391.JPG,30-Jan-2021 12:00:00,1,,
IMG_1392.JPG,30-Jan-2021 13:00:00,1,,
IMG_1393.JPG,30-Jan-2021 14:00:00,1,,
IMG_1394.JPG,30-Jan-2021 15:00:00,1,,
IMG_1395.JPG,30-Jan-2021 16:00:00,1,,
IMG_1411.JPG,31-Jan-2021 08:00:00,1,,
IMG_1412.JPG,31-Jan-2021 09:00:00,1,,
IMG_1413.JPG,31-Jan-2021 10:00:00,1,,
IMG_1414.JPG,31-Jan-2021 11:00:00,1,,
IMG_1415.JPG,31-Jan-2021 12:00:00,1,,
IMG_1416.JPG,31-Jan-2021 13:00:00,1,,
IMG_1417.JPG,31-Jan-2021 14:00:00,1,,
IMG_1418.JPG,31-Jan-2021 15:00:00,1,,
IMG_1419.JPG,31-Jan-2021 16:00:00,1,,
IMG_1435.JPG,01-Feb-2021 08:00:00,1,,
IMG_1436.JPG,01-Feb-2021 09:00:00,1,,
IMG_1437.JPG,01-Feb-2021 10:00:00,1,,
IMG_1438.JPG,01-Feb-2021 11:00:00,1,,
IMG_1439.JPG,01-Feb-2021 12:00:00,1,,
IMG_1440.JPG,01-Feb-2021 13:00:00,1,,
IMG_1441.JPG,01-Feb-2021 14:00:00,1,,
IMG_1442.JPG,01-Feb-2021 15:00:00,1,,
IMG_1443.JPG,01-Feb-2021 16:00:00,1,,
IMG_1459.JPG,02-Feb-2021 08:00:00,1,,
IMG_1460.JPG,02-Feb-2021 09:00:00,1,,
IMG_1461.JPG,02-Feb-2021 10:00:00,1,,
IMG_1462.JPG,02-Feb-2021 11:00:00,1,,
IMG_1463.JPG,02-Feb-2021 12:00:00,1,,
IMG_1464.JPG,02-Feb-2021 13:00:00,1,,
IMG_1465.JPG,02-Feb-2021 14:00:00,1,,
IMG_1466.JPG,02-Feb-2021 15:00:00,1,,
IMG_1483.JPG,03-Feb-2021 08:00:00,1,,
IMG_1484.JPG,03-Feb-2021 09:00:00,1,,
IMG_1485.JPG,03-Feb-2021 10:00:00,1,,
IMG_1486.JPG,03-Feb-2021 11:00:00,1,,
IMG_1487.JPG,03-Feb-2021 12:00:00,1,,
IMG_1488 (1).JPG,03-Feb-2021 13:00:00,1,,
IMG_1488.JPG,03-Feb-2021 13:00:00,1,,
IMG_1489.JPG,03-Feb-2021 14:00:00,1,,
IMG_1490.JPG,03-Feb-2021 15:00:00,1,,
IMG_1491.JPG,03-Feb-2021 16:00:00,1,,
IMG_1507.JPG,04-Feb-2021 08:00:00,1,,
IMG_1508.JPG,04-Feb-2021 09:00:00,1,,
IMG_1509.JPG,04-Feb-2021 10:00:00,1,,
IMG_1510.JPG,04-Feb-2021 11:00:00,1,,
IMG_1511.JPG,04-Feb-2021 12:00:00,1,,
IMG_1512.JPG,04-Feb-2021 13:00:00,1,,
IMG_1513.JPG,04-Feb-2021 14:00:00,1,,
IMG_1514.JPG,04-Feb-2021 15:00:00,1,,
IMG_1515.JPG,04-Feb-2021 16:00:00,1,,
IMG_1534.JPG,05-Feb-2021 11:00:00,1,,
IMG_1557.JPG,06-Feb-2021 10:00:00,1,,
IMG_1558.JPG,06-Feb-2021 11:00:00,1,,
IMG_1559.JPG,06-Feb-2021 12:00:00,1,,
IMG_1560.JPG,06-Feb-2021 13:00:00,1,,
IMG_1561.JPG,06-Feb-2021 14:00:00,1,,
IMG_1562.JPG,06-Feb-2021 15:00:00,1,,
IMG_1605.JPG,08-Feb-2021 10:00:00,1,,
IMG_1606.JPG,08-Feb-2021 11:00:00,1,,
IMG_1607.JPG,08-Feb-2021 12:00:00,1,,
IMG_1608.JPG,08-Feb-2021 13:00:00,1,,
IMG_1609.JPG,08-Feb-2021 14:00:00,1,,
IMG_1610.JPG,08-Feb-2021 15:00:00,1,,
IMG_1629.JPG,09-Feb-2021 10:00:00,1,,
IMG_1630.JPG,09-Feb-2021 11:00:00,1,,
IMG_1631.JPG,09-Feb-2021 12:00:00,1,,
IMG_1632.JPG,09-Feb-2021 13:00:00,1,,
IMG_1633.JPG,09-Feb-2021 14:00:00,1,,
IMG_1634.JPG,09-Feb-2021 15:00:00,1,,
IMG_1652.JPG,10-Feb-2021 09:00:00,1,,
IMG_1653.JPG,10-Feb-2021 10:00:00,1,,
IMG_1654.JPG,10-Feb-2021 11:00:00,1,,
IMG_1655.JPG,10-Feb-2021 12:00:00,1,,
IMG_1656.JPG,10-Feb-2021 13:00:00,1,,
IMG_1657.JPG,10-Feb-2021 14:00:00,1,,
IMG_1658.JPG,10-Feb-2021 15:00:00,1,,
IMG_1659.JPG,10-Feb-2021 16:00:00,1,,
IMG_1675.JPG,11-Feb-2021 08:00:00,1,,
IMG_1676.JPG,11-Feb-2021 09:00:00,1,,
IMG_1677.JPG,11-Feb-2021 10:00:00,1,,
IMG_1678.JPG,11-Feb-2021 11:00:00,1,,
IMG_1679.JPG,11-Feb-2021 12:00:00,1,,
IMG_1680.JPG,11-Feb-2021 13:00:00,1,,
IMG_1681.JPG,11-Feb-2021 14:00:00,1,,
IMG_1682.JPG,11-Feb-2021 15:00:00,1,,
IMG_1683.JPG,11-Feb-2021 16:00:00,1,,
IMG_1699.JPG,12-Feb-2021 08:00:00,1,,
IMG_1700.JPG,12-Feb-2021 09:00:00,1,,
IMG_1701.JPG,12-Feb-2021 10:00:00,1,,
IMG_1702.JPG,12-Feb-2021 11:00:00,1,,
IMG_1703.JPG,12-Feb-2021 12:00:00,1,,
IMG_1704.JPG,12-Feb-2021 13:00:00,1,,
IMG_1705.JPG,12-Feb-2021 14:00:00,1,,
IMG_1706.JPG,12-Feb-2021 15:00:00,1,,
IMG_1707.JPG,12-Feb-2021 16:00:00,1,,
IMG_1723.JPG,13-Feb-2021 08:00:00,1,,
IMG_1724.JPG,13-Feb-2021 09:00:00,1,,
IMG_1725.JPG,13-Feb-2021 10:00:00,1,,
IMG_1726.JPG,13-Feb-2021 11:00:00,1,,
IMG_1727.JPG,13-Feb-2021 12:00:00,1,,
IMG_1728.JPG,13-Feb-2021 13:00:00,1,,
IMG_1729.JPG,13-Feb-2021 14:00:00,1,,
IMG_1730.JPG,13-Feb-2021 15:00:00,1,,
IMG_1731.JPG,13-Feb-2021 16:00:00,1,,
IMG_1747.JPG,14-Feb-2021 08:00:00,1,,
IMG_1748.JPG,14-Feb-2021 09:00:00,1,,
IMG_1749.JPG,14-Feb-2021 10:00:00,1,,
IMG_1750.JPG,14-Feb-2021 11:00:00,1,,
IMG_1751.JPG,14-Feb-2021 12:00:00,1,,
IMG_1752.JPG,14-Feb-2021 13:00:00,1,,
IMG_1753.JPG,14-Feb-2021 14:00:00,1,,
IMG_1754.JPG,14-Feb-2021 15:00:00,1,,
IMG_1755.JPG,14-Feb-2021 16:00:00,1,,
IMG_1772.JPG,15-Feb-2021 09:00:00,1,,
IMG_1773.JPG,15-Feb-2021 10:00:00,1,,
IMG_1774.JPG,15-Feb-2021 11:00:00,1,,
IMG_1775.JPG,15-Feb-2021 12:00:00,1,,
IMG_1776.JPG,15-Feb-2021 13:00:00,1,,
IMG_1777.JPG,15-Feb-2021 14:00:00,1,,
IMG_1778.JPG,15-Feb-2021 15:00:00,1,,
IMG_1779.JPG,15-Feb-2021 16:00:00,1,,
IMG_1795.JPG,16-Feb-2021 08:00:00,1,,
IMG_1796.JPG,16-Feb-2021 09:00:00,1,,
IMG_1797.JPG,16-Feb-2021 10:00:00,1,,
IMG_1798.JPG,16-Feb-2021 11:00:00,1,,
IMG_1799.JPG,16-Feb-2021 12:00:00,1,,
IMG_1800.JPG,16-Feb-2021 13:00:00,1,,
IMG_1801.JPG,16-Feb-2021 14:00:00,1,,
IMG_1823.JPG,17-Feb-2021 12:00:00,1,,
IMG_1824.JPG,17-Feb-2021 13:00:00,1,,
IMG_1845.JPG,18-Feb-2021 10:00:00,1,,
IMG_1846.JPG,18-Feb-2021 11:00:00,1,,
IMG_1847.JPG,18-Feb-2021 12:00:00,1,,
IMG_1848.JPG,18-Feb-2021 13:00:00,1,,
IMG_1849.JPG,18-Feb-2021 14:00:00,1,,
IMG_1850.JPG,18-Feb-2021 15:00:00,1,,
IMG_1868.JPG,19-Feb-2021 09:00:00,1,,
IMG_1869.JPG,19-Feb-2021 10:00:00,1,,
IMG_1872.JPG,19-Feb-2021 13:00:00,1,,
IMG_1873.JPG,19-Feb-2021 14:00:00,1,,
IMG_1893.JPG,20-Feb-2021 10:00:00,1,,
IMG_1894.JPG,20-Feb-2021 11:00:00,1,,
IMG_1895.JPG,20-Feb-2021 12:00:00,1,,
IMG_1896.JPG,20-Feb-2021 13:00:00,1,,
IMG_1918.JPG,21-Feb-2021 11:00:00,1,,
IMG_1919.JPG,21-Feb-2021 12:00:00,1,,
IMG_1920.JPG,21-Feb-2021 13:00:00,1,,
IMG_1921.JPG,21-Feb-2021 14:00:00,1,,
IMG_1941.JPG,22-Feb-2021 10:00:00,1,,
IMG_1942.JPG,22-Feb-2021 11:00:00,1,,
IMG_1943.JPG,22-Feb-2021 12:00:00,1,,
IMG_1944.JPG,22-Feb-2021 13:00:00,1,,
IMG_1963.JPG,23-Feb-2021 08:00:00,1,,
IMG_1964.JPG,23-Feb-2021 09:00:00,1,,
IMG_1965.JPG,23-Feb-2021 10:00:00,1,,
IMG_1966.JPG,23-Feb-2021 11:00:00,1,,
IMG_1967.JPG,23-Feb-2021 12:00:00,1,,
IMG_1968.JPG,23-Feb-2021 13:00:00,1,,
IMG_1969.JPG,23-Feb-2021 14:00:00,1,,
IMG_1970.JPG,23-Feb-2021 15:00:00,1,,
IMG_1971.JPG,23-Feb-2021 16:00:00,1,,
IMG_1987.JPG,24-Feb-2021 08:00:00,1,,
IMG_1988.JPG,24-Feb-2021 09:00:00,1,,
IMG_1989.JPG,24-Feb-2021 10:00:00,1,,
IMG_1990.JPG,24-Feb-2021 11:00:00,1,,
IMG_1991.JPG,24-Feb-2021 12:00:00,1,,
IMG_1992.JPG,24-Feb-2021 13:00:00,1,,
IMG_1993.JPG,24-Feb-2021 14:00:00,1,,
IMG_1994.JPG,24-Feb-2021 15:00:00,1,,
IMG_1995.JPG,24-Feb-2021 16:00:00,1,,
IMG_2012.JPG,25-Feb-2021 09:00:00,1,,
IMG_2015.JPG,25-Feb-2021 12:00:00,1,,
IMG_2085.JPG,28-Feb-2021 10:00:00,1,,
IMG_2086.JPG,28-Feb-2021 11:00:00,1,,
IMG_2087.JPG,28-Feb-2021 12:00:00,1,,
IMG_2088.JPG,28-Feb-2021 13:00:00,1,,
IMG_2109.JPG,01-Mar-2021 10:00:00,1,,
IMG_2110.JPG,01-Mar-2021 11:00:00,1,,
IMG_2111.JPG,01-Mar-2021 12:00:00,1,,
IMG_2136.JPG,02-Mar-2021 13:00:00,1,,
IMG_2137.JPG,02-Mar-2021 14:00:00,1,,
IMG_2138.JPG,02-Mar-2021 15:00:00,1,,
IMG_2157.JPG,03-Mar-2021 10:00:00,1,,
IMG_2158.JPG,03-Mar-2021 11:00:00,1,,
IMG_2159.JPG,03-Mar-2021 12:00:00,1,,
IMG_2160.JPG,03-Mar-2021 13:00:00,1,,
IMG_2161.JPG,03-Mar-2021 14:00:00,1,,
IMG_2162.JPG,03-Mar-2021 15:00:00,1,,
IMG_2179.JPG,04-Mar-2021 08:00:00,1,,
IMG_2180.JPG,04-Mar-2021 09:00:00,1,,
IMG_2181 (1).JPG,04-Mar-2021 10:00:00,1,,
IMG_2181.JPG,04-Mar-2021 10:00:00,1,,
IMG_2182.JPG,04-Mar-2021 11:00:00,1,,
IMG_2183.JPG,04-Mar-2021 12:00:00,1,,
IMG_2184.JPG,04-Mar-2021 13:00:00,1,,
IMG_2185.JPG,04-Mar-2021 14:00:00,1,,
IMG_2186.JPG,04-Mar-2021 15:00:00,1,,
IMG_2187.JPG,04-Mar-2021 16:00:00,1,,
IMG_2188.JPG,04-Mar-2021 17:00:00,1,,
IMG_2202.JPG,05-Mar-2021 07:00:00,1,,
IMG_2203.JPG,05-Mar-2021 08:00:00,1,,
IMG_2204.JPG,05-Mar-2021 09:00:00,1,,
IMG_2205.JPG,05-Mar-2021 10:00:00,1,,
IMG_2206.JPG,05-Mar-2021 11:00:00,1,,
IMG_2207.JPG,05-Mar-2021 12:00:00,1,,
IMG_2208.JPG,05-Mar-2021 13:00:00,1,,
IMG_2209.JPG,05-Mar-2021 14:00:00,1,,
IMG_2210.JPG,05-Mar-2021 15:00:00,1,,
IMG_2211.JPG,05-Mar-2021 16:00:00,1,,
IMG_2212.JPG,05-Mar-2021 17:00:00,1,,
IMG_2226.JPG,06-Mar-2021 07:00:00,1,,
IMG_2227.JPG,06-Mar-2021 08:00:00,1,,
IMG_2228.JPG,06-Mar-2021 09:00:00,1,,
IMG_2229.JPG,06-Mar-2021 10:00:00,1,,
IMG_2230.JPG,06-Mar-2021 11:00:00,1,,
IMG_2231.JPG,06-Mar-2021 12:00:00,1,,
IMG_2232.JPG,06-Mar-2021 13:00:00,1,,
IMG_2233.JPG,06-Mar-2021 14:00:00,1,,
IMG_2234.JPG,06-Mar-2021 15:00:00,1,,
IMG_2235.JPG,06-Mar-2021 16:00:00,1,,
IMG_2236.JPG,06-Mar-2021 17:00:00,1,,
IMG_2250.JPG,07-Mar-2021 07:00:00,1,,
IMG_2251.JPG,07-Mar-2021 08:00:00,1,,
IMG_2252.JPG,07-Mar-2021 09:00:00,1,,
IMG_2253.JPG,07-Mar-2021 10:00:00,1,,
IMG_2254.JPG,07-Mar-2021 11:00:00,1,,
IMG_2255.JPG,07-Mar-2021 12:00:00,1,,
IMG_2256.JPG,07-Mar-2021 13:00:00,1,,
IMG_2257.JPG,07-Mar-2021 14:00:00,1,,
IMG_2258.JPG,07-Mar-2021 15:00:00,1,,
IMG_2259.JPG,07-Mar-2021 16:00:00,1,,
IMG_2260.JPG,07-Mar-2021 17:00:00,1,,
IMG_2274.JPG,08-Mar-2021 07:00:00,1,,
IMG_2275.JPG,08-Mar-2021 08:00:00,1,,
IMG_2276.JPG,08-Mar-2021 09:00:00,1,,
IMG_2277.JPG,08-Mar-2021 10:00:00,1,,
IMG_2278.JPG,08-Mar-2021 11:00:00,1,,
IMG_2279.JPG,08-Mar-2021 12:00:00,1,,
IMG_2280.JPG,08-Mar-2021 13:00:00,1,,
IMG_2281.JPG,08-Mar-2021 14:00:00,1,,
IMG_2282.JPG,08-Mar-2021 15:00:00,1,,
IMG_2283.JPG,08-Mar-2021 16:00:00,1,,
IMG_2284.JPG,08-Mar-2021 17:00:00,1,,
IMG_2298.JPG,09-Mar-2021 07:00:00,1,,
IMG_2299.JPG,09-Mar-2021 08:00:00,1,,
IMG_2300.JPG,09-Mar-2021 09:00:00,1,,
IMG_2301.JPG,09-Mar-2021 10:00:00,1,,
IMG_2302.JPG,09-Mar-2021 11:00:00,1,,
IMG_2303.JPG,09-Mar-2021 12:00:00,1,,
IMG_2304.JPG,09-Mar-2021 13:00:00,1,,
IMG_2305.JPG,09-Mar-2021 14:00:00,1,,
IMG_2306.JPG,09-Mar-2021 15:00:00,1,,
IMG_2307.JPG,09-Mar-2021 16:00:00,1,,
IMG_2308.JPG,09-Mar-2021 17:00:00,1,,
IMG_2322.JPG,10-Mar-2021 07:00:00,1,,
IMG_2323.JPG,10-Mar-2021 08:00:00,1,,
IMG_2324.JPG,10-Mar-2021 09:00:00,1,,
IMG_2325.JPG,10-Mar-2021 10:00:00,1,,
IMG_2326.JPG,10-Mar-2021 11:00:00,1,,
IMG_2327.JPG,10-Mar-2021 12:00:00,1,,
IMG_2328.JPG,10-Mar-2021 13:00:00,1,,
IMG_2329.JPG,10-Mar-2021 14:00:00,1,,
IMG_2330.JPG,10-Mar-2021 15:00:00,1,,
IMG_2331.JPG,10-Mar-2021 16:00:00,1,,
IMG_2332.JPG,10-Mar-2021 17:00:00,1,,
IMG_2346.JPG,11-Mar-2021 07:00:00,1,,
IMG_2347.JPG,11-Mar-2021 08:00:00,1,,
IMG_2348.JPG,11-Mar-2021 09:00:00,1,,
IMG_2349.JPG,11-Mar-2021 10:00:00,1,,
IMG_2350.JPG,11-Mar-2021 11:00:00,1,,
IMG_2351.JPG,11-Mar-2021 12:00:00,1,,
IMG_2352.JPG,11-Mar-2021 13:00:00,1,,
IMG_2353.JPG,11-Mar-2021 14:00:00,1,,
IMG_2354.JPG,11-Mar-2021 15:00:00,1,,
IMG_2355.JPG,11-Mar-2021 16:00:00,1,,
IMG_2356.JPG,11-Mar-2021 17:00:00,1,,
IMG_2370.JPG,12-Mar-2021 07:00:00,1,,
IMG_2371.JPG,12-Mar-2021 08:00:00,1,,
IMG_2372.JPG,12-Mar-2021 09:00:00,1,,
IMG_2373.JPG,12-Mar-2021 10:00:00,1,,
IMG_2374.JPG,12-Mar-2021 11:00:00,1,,
IMG_2375.JPG,12-Mar-2021 12:00:00,1,,
IMG_2376.JPG,12-Mar-2021 13:00:00,1,,
IMG_2377.JPG,12-Mar-2021 14:00:00,1,,
IMG_2378.JPG,12-Mar-2021 15:00:00,1,,
IMG_2379.JPG,12-Mar-2021 16:00:00,1,,
IMG_2380.JPG,12-Mar-2021 17:00:00,1,,
IMG_2394.JPG,13-Mar-2021 07:00:00,1,,
IMG_2395.JPG,13-Mar-2021 08:00:00,1,,
IMG_2396.JPG,13-Mar-2021 09:00:00,1,,
IMG_2397.JPG,13-Mar-2021 10:00:00,1,,
IMG_2398.JPG,13-Mar-2021 11:00:00,1,,
IMG_2399.JPG,13-Mar-2021 12:00:00,1,,
IMG_2400.JPG,13-Mar-2021 13:00:00,1,,
IMG_2401.JPG,13-Mar-2021 14:00:00,1,,
IMG_2402.JPG,13-Mar-2021 15:00:00,1,,
IMG_2403.JPG,13-Mar-2021 16:00:00,1,,
