filename,top_x,top_y,bottom_x,bottom_y,pole_length
IMG_2566.JPG,1075.6,531.0,1116.2,668.0,142.87629
IMG_0359.JPG,1232.5,464.0,1290.3,1169.0,707.36353
IMG_2228.JPG,,,,,
IMG_3122.JPG,1037.0,522.0,1161.9,1006.0,499.85612
IMG_1053.JPG,1154.2,493.0,1190.6,820.0,329.02083
IMG_0211.JPG,1251.0,465.0,1253.0,989.0,524.00382
IMG_0577.JPG,1228.4,469.0,1280.9,1117.0,650.12533
IMG_2374.JPG,,,,,
IMG_1655.JPG,,,,,
IMG_3042.JPG,1041.2,526.0,1155.9,992.0,479.90741
IMG_2348.JPG,,,,,
IMG_0239.JPG,1247.4,464.0,1267.4,1222.0,758.26338
IMG_1127.JPG,1151.4,495.0,1188.9,832.0,339.07586
IMG_1872.JPG,,,,,
IMG_1682.JPG,,,,,
IMG_3095.JPG,1042.8,515.0,1156.6,1004.0,502.07188
IMG_2162.JPG,,,,,
IMG_1319.JPG,1129.9,490.0,1175.4,753.0,266.89341
IMG_2610.JPG,,,,,
IMG_3268.JPG,1073.6,513.0,1234.1,1195.0,700.63362
IMG_3240.JPG,1058.8,516.0,1204.2,1155.0,655.33349
IMG_2638.JPG,,,,,
IMG_0985.JPG,1159.3,495.0,1189.1,821.0,327.35649
IMG_1443.JPG,,,,,
IMG_3283.JPG,1080.0,517.0,1219.8,1209.0,705.98004
IMG_2837.JPG,1049.4,502.0,1111.2,806.0,310.21544
IMG_3281.JPG,1078.6,516.0,1227.5,1244.0,743.07622
IMG_0788.JPG,1201.6,487.0,1220.4,834.0,347.50843
IMG_2835.JPG,1045.2,519.0,1117.5,808.0,297.89438
IMG_2809.JPG,1117.1,703.0,1114.5,786.0,83.03862
IMG_3242.JPG,1079.6,598.0,1206.1,1174.0,589.72677
IMG_1441.JPG,,,,,
IMG_0987.JPG,1150.9,494.0,1192.6,795.0,303.87134
IMG_2160.JPG,,,,,
IMG_2612.JPG,,,,,
IMG_3097.JPG,1038.2,520.0,1159.5,1001.0,496.06323
IMG_1680.JPG,,,,,
IMG_0549.JPG,1228.4,469.0,1280.9,1117.0,650.12533
IMG_1657.JPG,,,,,
IMG_1131.JPG,1140.9,493.0,1193.1,833.0,343.99842
IMG_1125.JPG,1141.9,496.0,1193.3,832.0,339.90981
IMG_0575.JPG,1228.3,468.0,1280.6,1125.0,659.07473
IMG_2404.JPG,,,,,
IMG_0213.JPG,1252.0,464.0,1252.0,992.0,528.0
IMG_2376.JPG,,,,,
IMG_3068.JPG,1038.7,520.0,1161.2,998.0,493.46959
IMG_1723.JPG,,,,,
IMG_1051.JPG,1158.7,492.0,1189.0,820.0,329.40068
IMG_0429.JPG,1231.9,467.0,1267.9,1138.0,671.96773
IMG_3120.JPG,1038.8,519.0,1161.0,1008.0,504.04966
IMG_2570.JPG,,,1103.2,744.0,
IMG_1079.JPG,1143.1,490.0,1192.0,825.0,338.54246
IMG_2564.JPG,1062.3,515.0,1114.2,763.0,253.36455
IMG_2202.JPG,,,,,
IMG_2955.JPG,1039.1,521.0,1145.8,937.0,429.46299
IMG_2969.JPG,1037.2,515.0,1148.8,961.0,459.72628
IMG_0818.JPG,1196.5,485.0,1208.5,816.0,331.21506
IMG_2996.JPG,1055.0,516.0,1137.1,968.0,459.39757
IMG_1247.JPG,1144.9,493.0,1181.3,838.0,346.91253
IMG_3336.JPG,1108.2,594.0,1186.9,1093.0,505.17811
IMG_0165.JPG,1239.4,467.0,1292.4,994.0,529.66232
IMG_0603.JPG,1232.7,468.0,1269.4,1129.0,662.01881
IMG_1509.JPG,,,1173.7,658.0,
IMG_1508.JPG,,,,,
IMG_0170.JPG,1243.5,467.0,1302.0,1221.0,756.26979
IMG_0164.JPG,1243.4,466.0,1302.0,1221.0,757.2729
IMG_0602.JPG,1229.0,468.0,1282.4,1120.0,654.17958
IMG_2015.JPG,,,,,
IMG_1534.JPG,,,,,
IMG_1246.JPG,1124.2,495.0,1201.7,835.0,348.70867
IMG_2997.JPG,1036.9,521.0,1159.8,986.0,480.98139
IMG_3337.JPG,1089.9,514.0,1226.4,1255.0,753.46667
IMG_0819.JPG,1201.0,482.0,1204.0,782.0,300.015
IMG_1291.JPG,1150.5,491.0,1179.7,823.0,333.28337
IMG_2954.JPG,1047.6,516.0,1139.6,941.0,434.85463
IMG_2565.JPG,1062.5,516.0,1109.0,738.0,226.82377
IMG_2203.JPG,,,,,
IMG_1078.JPG,1144.8,490.0,1191.0,823.0,336.19757
